YEAR,北海道・東北,関東,甲信越・北陸,東海,関西,中国・四国,九州・沖縄
1940,10269,16648,6547,7524,11765,8877,10302
1941,10220.6,16661.8,6444.6,7509.1,11671.1,8843.4,10328
1942,10267.4,16891.7,6449.3,7619.1,11738,8980,10440.6
1943,10327.1,17163.2,6457.6,7740.8,11571.6,9091.1,10536.4
1944,10377,17233,6467,7783,11419,9154,10632
1945,11786,14404,7917,7991,9804,10066,10029
1946,11666,15211,7659,7995,9932,10101,10552
1947,12448,16553,7918,8386,10729,10667,11400
1948,12795,17171.1,7950.8,8573,11013.6,10828.4,11670.7
1949,13077.1,17719.9,8004.1,8743.3,11353.6,10955.5,11919.1
1950,13317,18241,8051,8868,11607,11018,12096
1951,13463,18803,8044,9017,11946,11049,12219
1952,13637,19333,8024,9150,12205,11084,12374
1953,13801,19831,8013,9273,12439,11128,12498
1954,13943,20257,8023,9387,12629,11182,12819
1955,14108,20650,8042,9489,12812,11238,12938
1956,14198,21071,8039,9603,13018,11243,12999
1957,14237,21513,8012,9716,13261,11201,12988
1958,14312,21976,8003,9816,13493,11173,12997
1959,14363,22466,7983,9938,13744,11143,13004
1960,14366,23003,7964,10085,14030,11066,12904
1961,14358,23573,7946,10236,14362,11008,12805
1962,14323,24194,7915,10393,14728,10951,12676
1963,14302,24841,7899,10571,15071,10906,12563
1964,14289,25515,7887,10753,15433,10864,12441
1965,14280,26201,7876,10926,15776,10847,12371
1966,14259,26737,7846,11034,16016,10812,12335
1967,14272,27405,7846,11202,16335,10825,12313
1968,14269,28085,7842,11380,16675,10834,12245
1969,14257,28783,7846,11578,17043,10863,12168
1970,14215,29496,7856,11778,17401,10901,12071
1971,14215,30279,7884,12002,17741,10979,12047
1972,14256,31012,7925,12203,18070,11082,13046
1973,14328,31687,7983,12405,18360,11193,13149
1974,14440,32292,8048,12582,18615,11303,13292
1975,14571,32838,8108,12727,18831,11404,13460
1976,14708,33290,8166,12856,18992,11489,13594
1977,14825,33710,8216,12978,19140,11565,13727
1978,14941,34136,8265,13099,19278,11627,13847
1979,15050,34531,8312,13209,19404,11687,13962
1980,15148,34896,8355,13316,19521,11749,14073
1981,15218,35268,8392,13415,19637,11805,14164
1982,15278,35652,8427,13513,19750,11858,14249
1983,15335,36030,8464,13607,19874,11901,14325
1984,15379,36406,8501,13702,19981,11941,14396
1985,15409,36785,8536,13806,20081,11977,14455
1986,15407,37171,8551,13901,20167,11982,14477
1987,15401,37554,8566,13994,20247,11978,14498
1988,15398,37917,8572,14068,20310,11970,14509
1989,15388,38251,8585,14146,20363,11955,14515
1990,15382,38542,8594,14222,20413,11941,14518
1991,15401,38840,8608,14292,20483,11940,14538
1992,15429,39090,8624,14376,20543,11941,14564
1993,15457,39265,8643,14438,20587,11942,14605
1994,15493,39386,8667,14496,20623,11948,14655
1995,15528,39521,8694,14547,20627,11958,14696
1996,15537,39674,8712,14592,20676,11946,14719
1997,15539,39862,8716,14640,20731,11936,14731
1998,15531,40064,8719,14694,20792,11926,14746
1999,15514,40218,8709,14730,20836,11909,14754
2000,15500,40434,8710,14775,20856,11887,14764
2001,15483,40717,8715,14844,20903,11876,14775
2002,15444,40934,8692,14888,20906,11854,14771
2003,15397,41177,8675,14934,20917,11833,14761
2004,15341,41353,8654,14975,20915,11804,14747
2005,15263,41495,8620,15021,20893,11762,14715
2006,15183,41725,8592,15079,20902,11721,14695
2007,15092,41994,8564,15130,20907,11682,14667
2008,14995,42230,8529,15163,20905,11630,14631
2009,14911,42390,8493,15149,20904,11581,14607
2010,14841,42604,8458,15112,20903,11539,14597
